Stellar,Mass,Luminosity,Radius,Temp,Color Index,Abs Mag,Bolo Corr,Bolo Mag,Star Color
Type,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,B-V,Mv,BC(Temp),Mbol,RGB 0-255
O0Ia0,160,3.41E+07,8.02E+01,50000,-0.35,-9.5,-4.58,-14.08,144 166 255
O0Ia,150,2.59E+06,2.21E+01,50000,-0.35,-6.7,-4.58,-11.28,144 166 255
O0Ib,140,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,144 166 255
O0II,130,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,144 166 255
O0III,120,2.15E+06,2.02E+01,50000,-0.35,-6.5,-4.58,-11.08,144 166 255
O0IV,110,1.36E+06,1.60E+01,50000,-0.35,-6,-4.58,-10.58,144 166 255
O0V,100,1.24E+06,1.53E+01,50000,-0.35,-5.9,-4.58,-10.48,144 166 255
O0VI,60,9.40E+05,1.33E+01,50000,-0.35,-5.6,-4.58,-10.18,144 166 255
O1Ia0,159.7,2.71E+07,7.88E+01,47600,-0.35,-9.4,-4.43,-13.83,146 168 255
O1Ia,149.3,2.25E+06,2.27E+01,47600,-0.35,-6.7,-4.43,-11.13,146 168 255
O1Ib,139,1.87E+06,2.07E+01,47600,-0.35,-6.5,-4.43,-10.93,146 168 255
O1II,128.6,1.73E+06,1.98E+01,47800,-0.35,-6.4,-4.44,-10.84,146 168 255
O1III,118.2,1.58E+06,1.89E+01,47800,-0.35,-6.3,-4.44,-10.74,146 168 255
O1IV,107.9,1.09E+06,1.57E+01,47800,-0.35,-5.9,-4.44,-10.34,145 167 255
O1V,97.5,9.94E+05,1.50E+01,47800,-0.35,-5.8,-4.44,-10.24,146 168 255
O1VI,37,7.54E+05,1.31E+01,47800,-0.35,-5.5,-4.44,-9.94,146 168 255
O2Ia0,159.4,2.14E+07,7.77E+01,45200,-0.35,-9.3,-4.28,-13.58,148 170 255
O2Ia,148.6,2.14E+06,2.46E+01,45200,-0.35,-6.8,-4.28,-11.08,148 170 255
O2Ib,137.9,1.62E+06,2.14E+01,45200,-0.35,-6.5,-4.28,-10.78,148 170 255
O2II,127.2,1.52E+06,2.03E+01,45600,-0.35,-6.4,-4.3,-10.7,148 170 255
O2III,116.5,1.26E+06,1.85E+01,45600,-0.35,-6.2,-4.3,-10.5,148 169 255
O2IV,105.7,8.72E+05,1.54E+01,45600,-0.35,-5.8,-4.3,-10.1,146 169 255
O2V,95,7.95E+05,1.47E+01,45600,-0.35,-5.7,-4.3,-10,148 170 255
O2VI,30,6.03E+05,1.28E+01,45600,-0.35,-5.4,-4.3,-9.7,148 170 255
O3Ia0,159,1.68E+07,7.69E+01,42800,-0.34,-9.2,-4.12,-13.32,151 172 255
O3Ia,148,1.85E+06,2.55E+01,42800,-0.34,-6.8,-4.12,-10.92,151 172 255
O3Ib,136.9,1.40E+06,2.22E+01,42800,-0.34,-6.5,-4.12,-10.62,151 172 255
O3II,125.8,1.21E+06,2.00E+01,43400,-0.34,-6.3,-4.16,-10.46,149 173 255
O3III,114.7,9.17E+05,1.75E+01,43400,-0.34,-6,-4.16,-10.16,150 171 255
O3IV,103.6,6.96E+05,1.52E+01,43400,-0.34,-5.7,-4.16,-9.86,148 170 255
O3V,92.5,6.34E+05,1.45E+01,43400,-0.34,-5.6,-4.16,-9.76,151 172 255
O3VI,23,4.81E+05,1.26E+01,43400,-0.34,-5.3,-4.16,-9.46,151 172 255
